MAFIA_all retail.dat 75 111.48 110.66 0.69 176156252 154313444 664 1
MAFIA_maximal pumsb-star.dat 10000 1.46 1.33 0.04 60421116 13201040 1896 0
eclat-lst_all bms1.dat 36 0.90 0.83 0.04 29153524 9213528 760 461522
ABS_maximal bms2.dat 100 0.72 0.71 0.02 9135617 7102543 2088 2591
LCM_closed webdocs.dat 250000 134.43 99.38 8.16 8979817024 647609044 1568 11565
LCM_closed pumsb.dat 25000 24.69 24.32 0.23 1918356744 14097108 3328 5938971
nonordfp_all bms1.dat 50 0.14 0.12 0.01 22569321 17491776 5192 8192
apriori-borgelt_all pumsb.dat 35000 32.52 31.92 0.51 50806881 49649605 2344 1897480
fpgrowth-tiny_all bmspos.dat 2000 16.57 16.21 0.10 138959956 48761280 29976 14104
MAFIA_all connect.dat 65000 1.24 0.98 0.05 71975468 12290720 664 1
apriori-borgelt_closed bmspos.dat 200 88.20 87.87 0.26 140622861 78170505 872 1002098
fpgrowth-tiny_all bms1.dat 33 477.07 444.84 32.01 4417936520 494925552 74968 16857383
eclat-borgelt_all kosarak.dat 2000 17.94 17.60 0.22 271965746 62041254 1004 34484
MAFIA_all bms1.dat 60 1.95 1.86 0.06 26906296 17780476 664 1
kDCI_all pumsb.dat 30000 53.83 53.27 0.39 170509859 88874229 1320 1
eclat-borgelt_maximal chess.dat 3000 0.05 0.03 0.00 562484 516064 524 11
LCM_closed bms2.dat 40 0.61 0.52 0.06 48978794 6148594 8896 74393
fp-zhu_closed bms2.dat 40 1.60 1.40 0.03 57336718 13319155 1064 74392
fp-zhu_closed bms1.dat 100 0.17 0.15 0.01 2959805 2567290 456 1139
apriori-borgelt_closed bmspos.dat 4000 4.05 3.87 0.12 34670600 34670236 872 1785
eclat-borgelt_all pumsb-star.dat 22500 1.24 1.16 0.02 15515294 10682086 684 1538
fp-zhu_maximal pumsb-star.dat 22500 1.03 0.87 0.02 1514585 1371347 728 44
eclat-borgelt_closed kosarak.dat 6000 7.76 7.35 0.22 95079442 56120254 688 1111
ABS_maximal pumsb.dat 37500 9.22 9.00 0.09 25064151 24567843 2280 5769
ABS_maximal retail.dat 20 6.03 5.78 0.22 182521666 96175078 1320 22144
LCM_closed mushroom.dat 500 0.26 0.18 0.04 23464116 2397612 1568 9865
